物种代码,物种中文名,科学学名,观测地名称,观测时间,纬度,经度,数量,省份代码,检查表ID
swagoo1,鸿雁 (Swan Goose),Anser cygnoides,孟津黄河湿地大桥段 (Mengjin Yellow River Wetlands--Bridge Section),2025-01-29 10:30,34.8487903,112.6403107,100,CN-41,S211422572
gwfgoo,白额雁 (Greater White-fronted Goose),Anser albifrons,矶山 (Jishan Island),2025-01-29 10:40,28.8955098,116.3268012,30,CN-36,S212071965
tunbeg1,豆雁-短嘴豆雁 (Tundra Bean-Goose),Anser serrirostris,苏州虎丘湿地公园 (Suzhou Huqiu Wetland Park),2025-01-29 13:15,31.3665137,120.5737273,1,CN-32,S212375668
swagoo1,鸿雁 (Swan Goose),Anser cygnoides,升金湖 (Shengjin Lake),2025-01-29 14:30,30.3755681,117.1052885,9,CN-34,S280436875
gwfgoo,白额雁 (Greater White-fronted Goose),Anser albifrons,升金湖 (Shengjin Lake),2025-01-29 14:30,30.3755681,117.1052885,9,CN-34,S280436875
gragoo,灰雁 (Graylag Goose),Anser anser,五星农场 (Five-Star Farm),2025-01-29 14:50,28.7574714,116.3154888,2,CN-36,S212073775
swagoo1,鸿雁 (Swan Goose),Anser cygnoides,五星农场 (Five-Star Farm),2025-01-29 14:50,28.7574714,116.3154888,30,CN-36,S212073775
taibeg1,豆雁-寒林豆雁 (Taiga Bean-Goose),Anser fabalis,五星农场 (Five-Star Farm),2025-01-29 14:50,28.7574714,116.3154888,1,CN-36,S212073775
tunbeg1,豆雁-短嘴豆雁 (Tundra Bean-Goose),Anser serrirostris,五星农场 (Five-Star Farm),2025-01-29 14:50,28.7574714,116.3154888,2,CN-36,S212073775
gragoo,灰雁 (Graylag Goose),Anser anser,府河湿地 (Fu River Wetlands),2025-01-30 09:00,30.7524508,114.1576218,500,CN-42,S211307503
swagoo1,鸿雁 (Swan Goose),Anser cygnoides,府河湿地 (Fu River Wetlands),2025-01-30 09:00,30.7524508,114.1576218,4,CN-42,S211307503
gwfgoo,白额雁 (Greater White-fronted Goose),Anser albifrons,府河湿地 (Fu River Wetlands),2025-01-30 09:00,30.7524508,114.1576218,10,CN-42,S211307503
taibeg1,豆雁-寒林豆雁 (Taiga Bean-Goose),Anser fabalis,府河湿地 (Fu River Wetlands),2025-01-30 09:00,30.7524508,114.1576218,100,CN-42,S211307503
tunbeg1,豆雁-短嘴豆雁 (Tundra Bean-Goose),Anser serrirostris,府河湿地 (Fu River Wetlands),2025-01-30 09:00,30.7524508,114.1576218,500,CN-42,S211307503
taibeg1,豆雁-寒林豆雁 (Taiga Bean-Goose),Anser fabalis,石臼湖 [安徽] (Shijiu Lake [Anhui]),2025-01-30 09:30,31.5040035,118.8386108,120,CN-34,S211194501
swagoo1,鸿雁 (Swan Goose),Anser cygnoides,盐城湿地珍禽国家级自然保护区 (Yancheng Wetland NNR),2025-01-30 10:56,33.603891,120.5134201,2,CN-32,S211194162
gwfgoo,白额雁 (Greater White-fronted Goose),Anser albifrons,盐城湿地珍禽国家级自然保护区 (Yancheng Wetland NNR),2025-01-30 10:56,33.603891,120.5134201,10,CN-32,S211194162
taibeg1,豆雁-寒林豆雁 (Taiga Bean-Goose),Anser fabalis,汝河国家湿地公园,2025-01-30 11:00,34.130499,112.854229,1,CN-41,S211212796
gragoo,灰雁 (Graylag Goose),Anser anser,采桑湖湿地 (Caisang Lake Wetlands),2025-01-30 11:30,29.5125178,112.8037177,0,CN-43,S273814555
swagoo1,鸿雁 (Swan Goose),Anser cygnoides,采桑湖湿地 (Caisang Lake Wetlands),2025-01-30 11:30,29.5125178,112.8037177,0,CN-43,S273814555
tunbeg1,豆雁-短嘴豆雁 (Tundra Bean-Goose),Anser serrirostris,采桑湖湿地 (Caisang Lake Wetlands),2025-01-30 11:30,29.5125178,112.8037177,0,CN-43,S273814555
bahgoo,斑头雁 (Bar-headed Goose),Anser indicus,锁黄仓国家湿地公园 (Suohuangcang Wetland Park),2025-01-30 12:00,26.894552,104.205996,300,CN-52,S273499526
gragoo,灰雁 (Graylag Goose),Anser anser,吴城 (Wu Cheng),2025-01-30 12:08,29.1863012,116.0184929,4,CN-36,S212077145
tunbeg1,豆雁-短嘴豆雁 (Tundra Bean-Goose),Anser serrirostris,吴城 (Wu Cheng),2025-01-30 12:08,29.1863012,116.0184929,10,CN-36,S212077145
tunbeg1,豆雁-短嘴豆雁 (Tundra Bean-Goose),Anser serrirostris,盐城湿地珍禽国家级自然保护区 (Yancheng Wetland NNR),2025-01-30 14:00,33.603891,120.5134201,0,CN-32,S216388127
swagoo1,鸿雁 (Swan Goose),Anser cygnoides,沙湖山 (Shahushan),2025-01-30 15:00,29.1815657,115.9143325,12,CN-36,S282077867
gwfgoo,白额雁 (Greater White-fronted Goose),Anser albifrons,沙湖山 (Shahushan),2025-01-30 15:00,29.1815657,115.9143325,100,CN-36,S282077867
taibeg1,豆雁-寒林豆雁 (Taiga Bean-Goose),Anser fabalis,沙湖山 (Shahushan),2025-01-30 15:00,29.1815657,115.9143325,40,CN-36,S282077867
swagoo1,鸿雁 (Swan Goose),Anser cygnoides,孟津黄河湿地大桥段 (Mengjin Yellow River Wetlands--Bridge Section),2025-01-30 15:30,34.8487903,112.6403107,10,CN-41,S211216064
gragoo,灰雁 (Graylag Goose),Anser anser,盐城湿地珍禽国家级自然保护区 (Yancheng Wetland NNR),2025-01-30 15:45,33.603891,120.5134201,20,CN-32,S212057907
taibeg1,豆雁-寒林豆雁 (Taiga Bean-Goose),Anser fabalis,盐城湿地珍禽国家级自然保护区 (Yancheng Wetland NNR),2025-01-30 15:45,33.603891,120.5134201,10,CN-32,S212057907
bahgoo,斑头雁 (Bar-headed Goose),Anser indicus,孟津黄河湿地大桥段 (Mengjin Yellow River Wetlands--Bridge Section),2025-01-30 16:00,34.8487903,112.6403107,1,CN-41,S211216365
tunbeg1,豆雁-短嘴豆雁 (Tundra Bean-Goose),Anser serrirostris,孟津黄河湿地大桥段 (Mengjin Yellow River Wetlands--Bridge Section),2025-01-30 16:00,34.8487903,112.6403107,1,CN-41,S211216365
taibeg1,豆雁-寒林豆雁 (Taiga Bean-Goose),Anser fabalis,盐城湿地珍禽国家级自然保护区 (Yancheng Wetland NNR),2025-01-31 09:30,33.603891,120.5134201,40,CN-32,S212059921
swagoo1,鸿雁 (Swan Goose),Anser cygnoides,鄱阳湖国家湿地公园 (Poyang Lake National Wetland Park),2025-01-31 10:00,28.8705706,116.4331698,100,CN-36,S292559423
swagoo1,鸿雁 (Swan Goose),Anser cygnoides,卧波桥 (Wobo Bridge),2025-01-31 10:10,41.0837565,121.1360728,3,CN-21,S211338045
tunbeg1,豆雁-短嘴豆雁 (Tundra Bean-Goose),Anser serrirostris,条子泥--中段 (Tiaozini Tidal Flats--Central Section),2025-01-31 11:00,32.75,120.96,1,CN-32,S211794515
swagoo1,鸿雁 (Swan Goose),Anser cygnoides,南海子公园 (Nanhaizi Park),2025-01-31 13:30,39.777136,116.4605969,1,CN-11,S211324283
gragoo,灰雁 (Graylag Goose),Anser anser,五星农场 (Five-Star Farm),2025-01-31 13:30,28.7574714,116.3154888,10,CN-36,S295616002
gwfgoo,白额雁 (Greater White-fronted Goose),Anser albifrons,南矶山 (Nanjishan),2025-01-31 14:30,28.9484013,116.3569724,60,CN-36,S223838149
taibeg1,豆雁-寒林豆雁 (Taiga Bean-Goose),Anser fabalis,南矶山 (Nanjishan),2025-01-31 14:30,28.9484013,116.3569724,100,CN-36,S223838149
gragoo,灰雁 (Graylag Goose),Anser anser,龙袍湿地 (Longpao Wetlands),2025-01-31 15:22,32.190193,118.9891502,20,CN-32,S211320230
bahgoo,斑头雁 (Bar-headed Goose),Anser indicus,刘店北黄河边,2025-02-01 07:00,34.8994697,114.634625,1,CN-41,S213791689
gwfgoo,白额雁 (Greater White-fronted Goose),Anser albifrons,刘店北黄河边,2025-02-01 07:00,34.8994697,114.634625,0,CN-41,S213791689
taibeg1,豆雁-寒林豆雁 (Taiga Bean-Goose),Anser fabalis,刘店北黄河边,2025-02-01 07:00,34.8994697,114.634625,0,CN-41,S213791689
gragoo,灰雁 (Graylag Goose),Anser anser,府河湿地 (Fu River Wetlands),2025-02-01 08:22,30.7524508,114.1576218,128,CN-42,S211451802
swagoo1,鸿雁 (Swan Goose),Anser cygnoides,府河湿地 (Fu River Wetlands),2025-02-01 08:22,30.7524508,114.1576218,6,CN-42,S211451802
gwfgoo,白额雁 (Greater White-fronted Goose),Anser albifrons,府河湿地 (Fu River Wetlands),2025-02-01 08:22,30.7524508,114.1576218,2,CN-42,S211451802
taibeg1,豆雁-寒林豆雁 (Taiga Bean-Goose),Anser fabalis,府河湿地 (Fu River Wetlands),2025-02-01 08:22,30.7524508,114.1576218,3000,CN-42,S211451802
tunbeg1,豆雁-短嘴豆雁 (Tundra Bean-Goose),Anser serrirostris,府河湿地 (Fu River Wetlands),2025-02-01 08:22,30.7524508,114.1576218,2,CN-42,S211451802
taibeg1,豆雁-寒林豆雁 (Taiga Bean-Goose),Anser fabalis,Yueyang,2025-02-01 09:00,29.3565945,113.132046,100,CN-43,S211456647
swagoo1,鸿雁 (Swan Goose),Anser cygnoides,孟津黄河湿地大桥段 (Mengjin Yellow River Wetlands--Bridge Section),2025-02-01 12:44,34.8487903,112.6403107,9,CN-41,S211434755
gragoo,灰雁 (Graylag Goose),Anser anser,大湖池--水上公路东平台 (Lake Dahuchi--Water-Drive Viewing Platform East),2025-02-01 13:00,29.1064227,115.9628623,20,CN-36,S211504650
swagoo1,鸿雁 (Swan Goose),Anser cygnoides,大湖池--水上公路东平台 (Lake Dahuchi--Water-Drive Viewing Platform East),2025-02-01 13:00,29.1064227,115.9628623,40,CN-36,S211504650
gwfgoo,白额雁 (Greater White-fronted Goose),Anser albifrons,大湖池--水上公路东平台 (Lake Dahuchi--Water-Drive Viewing Platform East),2025-02-01 13:00,29.1064227,115.9628623,200,CN-36,S211504650
taibeg1,豆雁-寒林豆雁 (Taiga Bean-Goose),Anser fabalis,大湖池--水上公路东平台 (Lake Dahuchi--Water-Drive Viewing Platform East),2025-02-01 13:00,29.1064227,115.9628623,100,CN-36,S211504650
tunbeg1,豆雁-短嘴豆雁 (Tundra Bean-Goose),Anser serrirostris,大湖池--水上公路东平台 (Lake Dahuchi--Water-Drive Viewing Platform East),2025-02-01 13:00,29.1064227,115.9628623,100,CN-36,S211504650
bahgoo,斑头雁 (Bar-headed Goose),Anser indicus,芦水湾景区 (Lushuiwan Scenic Area),2025-02-01 14:00,38.959866,100.4131293,1,CN-62,S291186748
tunbeg1,豆雁-短嘴豆雁 (Tundra Bean-Goose),Anser serrirostris,孟津黄河湿地台荫段 (Mengjin Yellow River Wetlands--Taiyin Section),2025-02-01 15:30,34.8219442,112.7187036,5,CN-41,S211474218
swagoo1,鸿雁 (Swan Goose),Anser cygnoides,条子泥--中段 (Tiaozini Tidal Flats--Central Section),2025-02-02,32.75,120.96,1,CN-32,S211782806
taibeg1,豆雁-寒林豆雁 (Taiga Bean-Goose),Anser fabalis,条子泥--中段 (Tiaozini Tidal Flats--Central Section),2025-02-02,32.75,120.96,1,CN-32,S211782806
gragoo,灰雁 (Graylag Goose),Anser anser,南矶山 (Nanjishan),2025-02-02,28.9484013,116.3569724,1,CN-36,S292943718
swagoo1,鸿雁 (Swan Goose),Anser cygnoides,南矶山 (Nanjishan),2025-02-02,28.9484013,116.3569724,1,CN-36,S292943718
gwfgoo,白额雁 (Greater White-fronted Goose),Anser albifrons,南矶山 (Nanjishan),2025-02-02,28.9484013,116.3569724,1,CN-36,S292943718
taibeg1,豆雁-寒林豆雁 (Taiga Bean-Goose),Anser fabalis,南矶山 (Nanjishan),2025-02-02,28.9484013,116.3569724,1,CN-36,S292943718
tunbeg1,豆雁-短嘴豆雁 (Tundra Bean-Goose),Anser serrirostris,南矶山 (Nanjishan),2025-02-02,28.9484013,116.3569724,1,CN-36,S292943718
gwfgoo,白额雁 (Greater White-fronted Goose),Anser albifrons,孟津黄河湿地西霞院段 (Mengjin Yellow River Wetlands--Xixiayuan Section),2025-02-02 08:30,34.8804111,112.5422744,1,CN-41,S211614561
taibeg1,豆雁-寒林豆雁 (Taiga Bean-Goose),Anser fabalis,孟津黄河湿地西霞院段 (Mengjin Yellow River Wetlands--Xixiayuan Section),2025-02-02 08:30,34.8804111,112.5422744,1,CN-41,S211614561
gwfgoo,白额雁 (Greater White-fronted Goose),Anser albifrons,沉湖 (Chen Lake),2025-02-02 09:01,30.3077087,113.8482552,50,CN-42,S211610572
gragoo,灰雁 (Graylag Goose),Anser anser,沉湖--七壕保护站 (Chen Lake--Qihao Protection Station),2025-02-02 10:00,30.2987594,113.8604593,100,CN-42,S211792943
swagoo1,鸿雁 (Swan Goose),Anser cygnoides,沉湖--七壕保护站 (Chen Lake--Qihao Protection Station),2025-02-02 10:00,30.2987594,113.8604593,100,CN-42,S211792943
taibeg1,豆雁-寒林豆雁 (Taiga Bean-Goose),Anser fabalis,沉湖--七壕保护站 (Chen Lake--Qihao Protection Station),2025-02-02 10:00,30.2987594,113.8604593,50,CN-42,S211792943
tunbeg1,豆雁-短嘴豆雁 (Tundra Bean-Goose),Anser serrirostris,沉湖--七壕保护站 (Chen Lake--Qihao Protection Station),2025-02-02 10:00,30.2987594,113.8604593,50,CN-42,S211792943
taibeg1,豆雁-寒林豆雁 (Taiga Bean-Goose),Anser fabalis,浐灞国家湿地公园 (Chan Ba National Wetland Park),2025-02-02 15:43,34.4226751,109.000855,10,CN-61,S211619401
gragoo,灰雁 (Graylag Goose),Anser anser,石臼湖,2025-02-02 16:00,31.50517,118.75413,50,CN-34,S305171564
swagoo1,鸿雁 (Swan Goose),Anser cygnoides,石臼湖,2025-02-02 16:00,31.50517,118.75413,5,CN-34,S305171564
taibeg1,豆雁-寒林豆雁 (Taiga Bean-Goose),Anser fabalis,石臼湖,2025-02-02 16:00,31.50517,118.75413,20,CN-34,S305171564
tunbeg1,豆雁-短嘴豆雁 (Tundra Bean-Goose),Anser serrirostris,石臼湖,2025-02-02 16:00,31.50517,118.75413,50,CN-34,S305171564
gwfgoo,白额雁 (Greater White-fronted Goose),Anser albifrons,条子泥--中段 (Tiaozini Tidal Flats--Central Section),2025-02-03 10:30,32.75,120.96,40,CN-32,S212067968
taibeg1,豆雁-寒林豆雁 (Taiga Bean-Goose),Anser fabalis,条子泥--中段 (Tiaozini Tidal Flats--Central Section),2025-02-03 10:30,32.75,120.96,40,CN-32,S212067968
swagoo1,鸿雁 (Swan Goose),Anser cygnoides,"涧山口水库, 平顶山市 CN-河南省 (34.2171,112.6132)",2025-02-03 11:00,34.217051,112.613193,1,CN-41,S212833062
gwfgoo,白额雁 (Greater White-fronted Goose),Anser albifrons,"涧山口水库, 平顶山市 CN-河南省 (34.2171,112.6132)",2025-02-03 11:00,34.217051,112.613193,1,CN-41,S212833062
tunbeg1,豆雁-短嘴豆雁 (Tundra Bean-Goose),Anser serrirostris,"涧山口水库, 平顶山市 CN-河南省 (34.2171,112.6132)",2025-02-03 11:00,34.217051,112.613193,600,CN-41,S212833062
gwfgoo,白额雁 (Greater White-fronted Goose),Anser albifrons,野鸭湖 (Wild Duck Lake),2025-02-03 12:58,40.4095749,115.8468175,1,CN-11,S211797215
taibeg1,豆雁-寒林豆雁 (Taiga Bean-Goose),Anser fabalis,野鸭湖 (Wild Duck Lake),2025-02-03 13:30,40.4095749,115.8468175,100,CN-11,S211792957
tunbeg1,豆雁-短嘴豆雁 (Tundra Bean-Goose),Anser serrirostris,野鸭湖 (Wild Duck Lake),2025-02-03 13:30,40.4095749,115.8468175,500,CN-11,S211792957
gragoo,灰雁 (Graylag Goose),Anser anser,大湖池--水上公路东平台 (Lake Dahuchi--Water-Drive Viewing Platform East),2025-02-03 14:53,29.1064227,115.9628623,100,CN-36,S211801135
swagoo1,鸿雁 (Swan Goose),Anser cygnoides,大湖池--水上公路东平台 (Lake Dahuchi--Water-Drive Viewing Platform East),2025-02-03 14:53,29.1064227,115.9628623,100,CN-36,S211801135
gwfgoo,白额雁 (Greater White-fronted Goose),Anser albifrons,大湖池--水上公路东平台 (Lake Dahuchi--Water-Drive Viewing Platform East),2025-02-03 14:53,29.1064227,115.9628623,2000,CN-36,S211801135
taibeg1,豆雁-寒林豆雁 (Taiga Bean-Goose),Anser fabalis,大湖池--水上公路东平台 (Lake Dahuchi--Water-Drive Viewing Platform East),2025-02-03 14:53,29.1064227,115.9628623,2000,CN-36,S211801135
tunbeg1,豆雁-短嘴豆雁 (Tundra Bean-Goose),Anser serrirostris,大湖池--水上公路东平台 (Lake Dahuchi--Water-Drive Viewing Platform East),2025-02-03 14:53,29.1064227,115.9628623,1000,CN-36,S211801135
gragoo,灰雁 (Graylag Goose),Anser anser,高邮湖--东岸 (Gaoyou Lake--East),2025-02-04 11:00,32.901754,119.408786,2,CN-32,S279636900
taibeg1,豆雁-寒林豆雁 (Taiga Bean-Goose),Anser fabalis,高邮湖--东岸 (Gaoyou Lake--East),2025-02-04 11:00,32.901754,119.408786,1,CN-32,S279636900
tunbeg1,豆雁-短嘴豆雁 (Tundra Bean-Goose),Anser serrirostris,高邮湖--东岸 (Gaoyou Lake--East),2025-02-04 11:00,32.901754,119.408786,1,CN-32,S279636900
gragoo,灰雁 (Graylag Goose),Anser anser,北鄱阳湖湿地公园 (North Poyang Lake Wetland Park),2025-02-04 13:00,29.2487544,116.1963906,9,CN-36,S219574400
swagoo1,鸿雁 (Swan Goose),Anser cygnoides,北鄱阳湖湿地公园 (North Poyang Lake Wetland Park),2025-02-04 13:00,29.2487544,116.1963906,100,CN-36,S219574400
gwfgoo,白额雁 (Greater White-fronted Goose),Anser albifrons,北鄱阳湖湿地公园 (North Poyang Lake Wetland Park),2025-02-04 13:00,29.2487544,116.1963906,20,CN-36,S219574400
taibeg1,豆雁-寒林豆雁 (Taiga Bean-Goose),Anser fabalis,北鄱阳湖湿地公园 (North Poyang Lake Wetland Park),2025-02-04 13:00,29.2487544,116.1963906,200,CN-36,S219574400
tunbeg1,豆雁-短嘴豆雁 (Tundra Bean-Goose),Anser serrirostris,北鄱阳湖湿地公园 (North Poyang Lake Wetland Park),2025-02-04 13:00,29.2487544,116.1963906,200,CN-36,S219574400
gragoo,灰雁 (Graylag Goose),Anser anser,十八联圩湿地 (Shiba Lianwei Wetlands),2025-02-04 13:15,31.7224669,117.4031178,30,CN-34,S211916144
tunbeg1,豆雁-短嘴豆雁 (Tundra Bean-Goose),Anser serrirostris,十八联圩湿地 (Shiba Lianwei Wetlands),2025-02-04 13:15,31.7224669,117.4031178,30,CN-34,S211916144
gwfgoo,白额雁 (Greater White-fronted Goose),Anser albifrons,刘店北黄河边,2025-02-04 15:06,34.89904,114.63459,1,CN-41,S281869864
taibeg1,豆雁-寒林豆雁 (Taiga Bean-Goose),Anser fabalis,刘店北黄河边,2025-02-04 15:06,34.89904,114.63459,1,CN-41,S281869864
tunbeg1,豆雁-短嘴豆雁 (Tundra Bean-Goose),Anser serrirostris,刘店北黄河边,2025-02-04 15:06,34.89904,114.63459,1,CN-41,S281869864
gragoo,灰雁 (Graylag Goose),Anser anser,永修县,2025-02-05 08:00,29.09267,115.8706,100,CN-36,S219575002
taibeg1,豆雁-寒林豆雁 (Taiga Bean-Goose),Anser fabalis,"头闸镇, 石嘴山市 CN-宁夏回族自治区 (38.8856,106.7655)",2025-02-05 08:27,38.885594,106.765512,12,CN-64,S212028779
swagoo1,鸿雁 (Swan Goose),Anser cygnoides,大湖池--水上公路东平台 (Lake Dahuchi--Water-Drive Viewing Platform East),2025-02-05 11:30,29.1064227,115.9628623,20,CN-36,S212536901
gwfgoo,白额雁 (Greater White-fronted Goose),Anser albifrons,大湖池--水上公路东平台 (Lake Dahuchi--Water-Drive Viewing Platform East),2025-02-05 11:30,29.1064227,115.9628623,200,CN-36,S212536901
taibeg1,豆雁-寒林豆雁 (Taiga Bean-Goose),Anser fabalis,大湖池--水上公路东平台 (Lake Dahuchi--Water-Drive Viewing Platform East),2025-02-05 11:30,29.1064227,115.9628623,7,CN-36,S212536901
tunbeg1,豆雁-短嘴豆雁 (Tundra Bean-Goose),Anser serrirostris,大湖池--水上公路东平台 (Lake Dahuchi--Water-Drive Viewing Platform East),2025-02-05 11:30,29.1064227,115.9628623,500,CN-36,S212536901
swagoo1,鸿雁 (Swan Goose),Anser cygnoides,朝阳公园 (Chaoyang Park),2025-02-05 13:51,39.9395667,116.4792716,1,CN-11,S212028733
tunbeg1,豆雁-短嘴豆雁 (Tundra Bean-Goose),Anser serrirostris,孟津区白鹤镇高家庄,2025-02-05 17:00,34.88598,112.54633,0,CN-41,S281859394
gragoo,灰雁 (Graylag Goose),Anser anser,矶山 (Jishan Island),2025-02-06 10:21,28.8955098,116.3268012,100,CN-36,S212145888
gwfgoo,白额雁 (Greater White-fronted Goose),Anser albifrons,矶山 (Jishan Island),2025-02-06 10:21,28.8955098,116.3268012,500,CN-36,S212145888
taibeg1,豆雁-寒林豆雁 (Taiga Bean-Goose),Anser fabalis,矶山 (Jishan Island),2025-02-06 10:21,28.8955098,116.3268012,1000,CN-36,S212145888
tunbeg1,豆雁-短嘴豆雁 (Tundra Bean-Goose),Anser serrirostris,矶山 (Jishan Island),2025-02-06 10:21,28.8955098,116.3268012,1000,CN-36,S212145888
taibeg1,豆雁-寒林豆雁 (Taiga Bean-Goose),Anser fabalis,孟津黄河湿地西霞院段 (Mengjin Yellow River Wetlands--Xixiayuan Section),2025-02-06 10:33,34.8804111,112.5422744,8,CN-41,S212146021
tunbeg1,豆雁-短嘴豆雁 (Tundra Bean-Goose),Anser serrirostris,孟津黄河湿地西霞院段 (Mengjin Yellow River Wetlands--Xixiayuan Section),2025-02-06 11:00,34.8804111,112.5422744,10,CN-41,S212165252
swagoo1,鸿雁 (Swan Goose),Anser cygnoides,插旗洲 (Chaqizhou),2025-02-06 15:30,28.8453745,116.4850849,20,CN-36,S222401459
swagoo1,鸿雁 (Swan Goose),Anser cygnoides,朝阳公园,2025-02-06 16:00,39.9436474,116.477972,0,CN-11,S294285510
swagoo1,鸿雁 (Swan Goose),Anser cygnoides,朝阳公园 (Chaoyang Park),2025-02-07 09:28,39.9395667,116.4792716,1,CN-11,S212257439
swagoo1,鸿雁 (Swan Goose),Anser cygnoides,越秀公园 (Yuexiu Park),2025-02-07 16:21,23.14149,113.26555,2,CN-44,S212364888
taibeg1,豆雁-寒林豆雁 (Taiga Bean-Goose),Anser fabalis,孟津黄河湿地西霞院段 (Mengjin Yellow River Wetlands--Xixiayuan Section),2025-02-08 08:58,34.8804111,112.5422744,50,CN-41,S212376187
bahgoo,斑头雁 (Bar-headed Goose),Anser indicus,府河湿地 (Fu River Wetlands),2025-02-08 12:18,30.7524508,114.1576218,2,CN-42,S212379427
gragoo,灰雁 (Graylag Goose),Anser anser,府河湿地 (Fu River Wetlands),2025-02-08 12:18,30.7524508,114.1576218,0,CN-42,S212379427
swagoo1,鸿雁 (Swan Goose),Anser cygnoides,府河湿地 (Fu River Wetlands),2025-02-08 12:18,30.7524508,114.1576218,10,CN-42,S212379427
gwfgoo,白额雁 (Greater White-fronted Goose),Anser albifrons,府河湿地 (Fu River Wetlands),2025-02-08 12:18,30.7524508,114.1576218,3,CN-42,S212379427
swagoo1,鸿雁 (Swan Goose),Anser cygnoides,"涧山口水库, 平顶山市 CN-河南省 (34.2171,112.6132)",2025-02-08 20:59,34.217051,112.613193,1,CN-41,S212405198
gwfgoo,白额雁 (Greater White-fronted Goose),Anser albifrons,"涧山口水库, 平顶山市 CN-河南省 (34.2171,112.6132)",2025-02-08 20:59,34.217051,112.613193,1,CN-41,S212405198
tunbeg1,豆雁-短嘴豆雁 (Tundra Bean-Goose),Anser serrirostris,"涧山口水库, 平顶山市 CN-河南省 (34.2171,112.6132)",2025-02-08 20:59,34.217051,112.613193,600,CN-41,S212405198
gragoo,灰雁 (Graylag Goose),Anser anser,沉湖 (Chen Lake),2025-02-09 08:44,30.3077087,113.8482552,600,CN-42,S212545381
taibeg1,豆雁-寒林豆雁 (Taiga Bean-Goose),Anser fabalis,沉湖 (Chen Lake),2025-02-09 08:44,30.3077087,113.8482552,400,CN-42,S212545381
tunbeg1,豆雁-短嘴豆雁 (Tundra Bean-Goose),Anser serrirostris,沉湖 (Chen Lake),2025-02-09 08:44,30.3077087,113.8482552,50,CN-42,S212545381
gragoo,灰雁 (Graylag Goose),Anser anser,清阳港鱼塘 (Qingyanggang Fish Ponds),2025-02-09 09:30,33.5634254,120.5536683,0,CN-32,S212536335
taibeg1,豆雁-寒林豆雁 (Taiga Bean-Goose),Anser fabalis,射阳芦苇公司 (Sheyang Reed Farm),2025-02-09 13:12,33.6460658,120.5292917,0,CN-32,S212547530
swagoo1,鸿雁 (Swan Goose),Anser cygnoides,朝阳公园 (Chaoyang Park),2025-02-09 13:30,39.9395667,116.4792716,1,CN-11,S216706219
gragoo,灰雁 (Graylag Goose),Anser anser,流花湖公园 (Liuhua Lake Park),2025-02-09 14:36,23.1358916,113.2511473,1,CN-44,S212564914
swagoo1,鸿雁 (Swan Goose),Anser cygnoides,流花湖公园 (Liuhua Lake Park),2025-02-09 14:36,23.1358916,113.2511473,2,CN-44,S212564914
taibeg1,豆雁-寒林豆雁 (Taiga Bean-Goose),Anser fabalis,孟津黄河湿地西霞院段 (Mengjin Yellow River Wetlands--Xixiayuan Section),2025-02-09 14:40,34.8804111,112.5422744,100,CN-41,S212553220
gragoo,灰雁 (Graylag Goose),Anser anser,灞渭桥湿地 (Ba-Wei Bridge Wetlands),2025-02-09 14:41,34.4411507,109.0489728,2,CN-61,S212562616
swagoo1,鸿雁 (Swan Goose),Anser cygnoides,孟津黄河湿地西霞院段 (Mengjin Yellow River Wetlands--Xixiayuan Section),2025-02-09 15:00,34.8804111,112.5422744,10,CN-41,S286588498
tunbeg1,豆雁-短嘴豆雁 (Tundra Bean-Goose),Anser serrirostris,孟津黄河湿地西霞院段 (Mengjin Yellow River Wetlands--Xixiayuan Section),2025-02-09 15:00,34.8804111,112.5422744,500,CN-41,S286588498
tunbeg1,豆雁-短嘴豆雁 (Tundra Bean-Goose),Anser serrirostris,"黄沙港镇, 盐城市 CN-江苏省 (33.6485,120.5617)",2025-02-09 16:30,33.648526,120.561704,0,CN-32,S212553075
gwfgoo,白额雁 (Greater White-fronted Goose),Anser albifrons,马场 (Ma Chang),2025-02-10 06:19,40.3798824,115.8416955,1,CN-11,S212777849
gwfgoo,白额雁 (Greater White-fronted Goose),Anser albifrons,射阳芦苇公司 (Sheyang Reed Farm),2025-02-10 07:01,33.6460658,120.5292917,10,CN-32,S212710787
tunbeg1,豆雁-短嘴豆雁 (Tundra Bean-Goose),Anser serrirostris,射阳芦苇公司 (Sheyang Reed Farm),2025-02-10 07:01,33.6460658,120.5292917,0,CN-32,S212710787
gragoo,灰雁 (Graylag Goose),Anser anser,"合阳黄河湿地 (Yellow River Wetlands, Heyang)",2025-02-10 08:00,35.1429326,110.3417015,98,CN-61,S213756639
gwfgoo,白额雁 (Greater White-fronted Goose),Anser albifrons,"合阳黄河湿地 (Yellow River Wetlands, Heyang)",2025-02-10 08:00,35.1429326,110.3417015,18,CN-61,S213756639
swagoo1,鸿雁 (Swan Goose),Anser cygnoides,颐和园--团城湖 (Summer Palace--Tuancheng Lake),2025-02-10 13:20,39.9914673,116.264186,3,CN-11,S212724199
gragoo,灰雁 (Graylag Goose),Anser anser,府河湿地 (Fu River Wetlands),2025-02-10 13:30,30.7524508,114.1576218,200,CN-42,S212719764
swagoo1,鸿雁 (Swan Goose),Anser cygnoides,府河湿地 (Fu River Wetlands),2025-02-10 13:30,30.7524508,114.1576218,2,CN-42,S212719764
